Dive Time (s)	Depth (m)	PPO2 - Setpoint (Bar)	PPO2 - C1 Cell 1 (Bar)	PPO2 - C1 Cell 2 (Bar)	PPO2 - C1 Cell 3 (Bar)	PPO2 - C1 Measured (Bar)	PPO2 - C2 Cell 1 (Bar)	PPO2 - C2 Cell 2 (Bar)	PPO2 - C2 Cell 3 (Bar)	PPO2 - C2 Measured (Bar)	C1 Battery 1 (Volts)	C1 Battery 2 (Volts)	C2 Battery 1 (Volts)	C2 Battery 2 (Volts)	Ambient Temp. (Celsius)	OTU Exposure (%)	CNS Exposure (%)	Deco Ceiling (m)	Gradient Factor
2885	8.7	0.70	0.93	0.95	0.90	0.94	0.93	0.95	0.91	0.94	4.83	5.45	4.83	5.45	10.60	18.0	20.0	0.0	85.00
2890	8.7	0.70	0.93	0.93	0.90	0.93	0.93	0.95	0.91	0.94	4.83	5.45	4.83	5.45	10.60	18.0	20.0	0.0	85.00
2900	8.8	0.70	0.92	0.96	0.90	0.91	0.92	0.96	0.91	0.92	4.83	5.45	4.83	5.45	10.60	18.0	20.0	0.0	85.00
2910	8.7	0.70	0.97	0.97	0.94	0.97	0.97	0.99	0.95	0.97	4.83	5.45	4.83	5.45	10.60	18.0	20.0	0.0	85.00
2920	8.8	0.70	0.93	0.96	0.91	0.92	0.95	0.96	0.92	0.95	4.83	5.45	4.83	5.45	10.60	18.0	20.0	0.0	85.00
2930	8.1	0.70	1.00	1.03	0.98	0.99	1.00	1.04	0.99	1.00	4.83	5.45	4.83	5.45	10.60	18.0	20.0	0.0	85.00
2940	9.3	0.70	1.02	1.03	0.99	1.02	1.02	1.03	0.99	1.02	4.83	5.45	4.83	5.45	10.80	18.0	20.0	0.0	85.00
2950	8.7	0.70	0.97	0.99	0.95	0.97	0.97	0.99	0.96	0.96	4.83	5.45	4.83	5.45	10.80	18.0	20.0	0.0	85.00
2960	8.8	0.70	0.96	0.97	0.94	0.96	0.96	0.97	0.95	0.96	4.83	5.45	4.83	5.45	10.80	18.0	20.0	0.0	85.00
2970	8.9	0.70	0.97	0.99	0.94	0.98	0.97	0.99	0.95	0.97	4.83	5.45	4.83	5.45	10.80	18.0	20.0	0.0	85.00
2980	8.8	0.70	0.97	0.99	0.94	0.98	0.97	0.99	0.95	0.97	4.83	5.45	4.83	5.45	10.80	18.0	20.0	0.0	85.00
2990	8.9	0.70	0.95	0.97	0.92	0.96	0.96	0.97	0.94	0.96	4.83	5.45	4.83	5.45	10.80	18.0	20.0	0.0	85.00
3000	8.4	0.70	0.99	1.01	0.96	1.00	0.99	1.03	0.97	0.98	4.83	5.45	4.83	5.45	11.10	18.0	21.0	0.0	85.00
3010	7.2	0.70	0.93	0.93	0.90	0.93	0.93	0.93	0.91	0.93	4.83	5.45	4.83	5.45	11.10	18.0	21.0	0.0	85.00
3020	7.5	0.70	0.89	0.91	0.86	0.90	0.89	0.91	0.87	0.89	4.83	5.45	4.83	5.45	11.10	18.0	21.0	0.0	85.00
3030	6.9	0.70	0.86	0.87	0.82	0.86	0.86	0.87	0.83	0.86	4.83	5.45	4.83	5.45	11.10	18.0	21.0	0.0	85.00
3040	6.3	0.70	0.81	0.82	0.78	0.81	0.81	0.82	0.79	0.81	4.83	5.45	4.83	5.45	11.10	18.0	21.0	0.0	85.00
3050	6.1	0.70	0.78	0.80	0.76	0.78	0.78	0.80	0.77	0.78	4.83	5.45	4.83	5.45	11.10	18.0	21.0	0.0	85.00
3060	6.0	0.70	0.82	0.84	0.80	0.81	0.82	0.84	0.81	0.81	4.83	5.45	4.83	5.45	11.30	19.0	21.0	0.0	85.00
3070	6.1	0.70	1.00	1.08	0.98	0.99	1.00	1.08	0.99	1.00	4.83	5.45	4.83	5.45	11.30	19.0	21.0	0.0	85.00
3080	6.0	0.70	0.88	0.88	0.85	0.88	0.88	0.88	0.85	0.88	4.83	5.45	4.83	5.45	11.30	19.0	21.0	0.0	85.00
3090	5.7	0.70	0.85	0.88	0.84	0.84	0.86	0.88	0.83	0.87	4.83	5.45	4.83	5.45	11.30	19.0	21.0	0.0	85.00
3100	5.2	0.70	0.89	0.91	0.86	0.90	0.89	0.91	0.86	0.90	4.83	5.45	4.83	5.45	11.30	19.0	21.0	0.0	85.00
3110	5.2	0.70	0.93	0.95	0.90	0.94	0.93	0.95	0.91	0.94	4.83	5.45	4.83	5.45	11.30	19.0	21.0	0.0	85.00
3120	5.3	0.70	0.88	0.89	0.85	0.89	0.88	0.89	0.86	0.89	4.83	5.45	4.83	5.45	11.80	19.0	21.0	0.0	85.00
3130	5.3	0.70	0.86	0.88	0.84	0.86	0.86	0.88	0.85	0.85	4.83	5.45	4.83	5.45	11.80	19.0	21.0	0.0	85.00
3140	5.0	0.70	0.85	0.87	0.82	0.86	0.85	0.87	0.82	0.86	4.83	5.45	4.83	5.45	11.80	19.0	21.0	0.0	85.00
3150	4.9	0.70	0.82	0.82	0.78	0.82	0.82	0.82	0.79	0.82	4.83	5.45	4.83	5.45	11.80	19.0	21.0	0.0	85.00
3160	4.7	0.70	0.82	0.87	0.80	0.81	0.82	0.87	0.81	0.81	4.83	5.45	4.83	5.45	11.80	19.0	21.0	0.0	85.00
3170	4.7	0.70	0.82	0.84	0.80	0.81	0.82	0.84	0.81	0.81	4.83	5.45	4.83	5.45	11.80	19.0	21.0	0.0	85.00
3180	4.6	0.70	0.82	0.84	0.80	0.81	0.82	0.84	0.79	0.83	4.83	5.45	4.83	5.45	12.30	19.0	21.0	0.0	85.00
3180	4.6	0.70	0.82	0.84	0.80	0.81	0.82	0.84	0.79	0.83	4.83	5.45	4.83	5.45	12.30	19.0	21.0	0.0	85.00
3182	4.6	0.70	0.82	0.84	0.80	0.81	0.82	0.84	0.79	0.83	4.83	5.45	4.83	5.45	12.30	19.0	21.0	0.0	85.00
3182	4.6	0.70	0.82	0.84	0.80	0.81	0.82	0.84	0.79	0.83	4.83	5.45	4.83	5.45	12.30	19.0	21.0	0.0	85.00
3183	4.6	0.70	0.82	0.84	0.80	0.81	0.82	0.84	0.79	0.83	4.83	5.45	4.83	5.45	12.30	19.0	21.0	0.0	85.00
3184	4.6	0.70	0.82	0.84	0.80	0.81	0.82	0.84	0.79	0.83	4.83	5.45	4.83	5.45	12.30	19.0	21.0	0.0	85.00
3190	4.4	0.70	0.79	0.81	0.77	0.79	0.79	0.81	0.78	0.79	4.83	5.45	4.83	5.45	12.30	19.0	21.0	0.0	85.00
3200	4.2	0.70	0.88	0.92	0.86	0.87	0.88	0.92	0.86	0.87	4.83	5.45	4.83	5.45	12.30	19.0	21.0	0.0	85.00
3210	4.0	0.70	0.83	0.85	0.81	0.82	0.83	0.85	0.82	0.82	4.83	5.45	4.83	5.45	12.30	19.0	21.0	0.0	85.00
3220	4.0	0.70	0.81	0.82	0.78	0.81	0.81	0.82	0.79	0.81	4.83	5.45	4.83	5.45	12.30	19.0	21.0	0.0	85.00
3230	3.2	0.70	0.78	0.80	0.76	0.78	0.78	0.80	0.76	0.78	4.83	5.45	4.83	5.45	12.30	19.0	21.0	0.0	85.00
3240	3.5	0.70	0.76	0.78	0.75	0.76	0.78	0.78	0.76	0.78	4.83	5.45	4.83	5.45	12.80	19.0	22.0	0.0	85.00
3250	3.6	0.70	0.76	0.78	0.73	0.77	0.76	0.78	0.74	0.76	4.83	5.45	4.83	5.45	12.80	19.0	22.0	0.0	85.00
3260	3.2	0.70	0.74	0.76	0.72	0.74	0.74	0.76	0.73	0.73	4.83	5.45	4.83	5.45	12.80	19.0	22.0	0.0	85.00
3270	3.3	0.70	0.72	0.74	0.71	0.71	0.72	0.74	0.72	0.72	4.83	5.45	4.83	5.45	12.80	19.0	22.0	0.0	85.00
3280	2.2	0.70	0.75	0.77	0.73	0.75	0.75	0.77	0.74	0.75	4.83	5.45	4.83	5.45	12.80	19.0	22.0	0.0	85.00
3290	2.5	0.70	0.85	0.87	0.82	0.86	0.85	0.87	0.83	0.85	4.83	5.45	4.83	5.45	12.80	19.0	22.0	0.0	85.00
3300	1.8	0.70	0.75	0.77	0.73	0.75	0.75	0.77	0.74	0.75	4.83	5.45	4.83	5.45	13.10	20.0	22.0	0.0	85.00
3310	1.7	0.70	0.72	0.74	0.71	0.71	0.72	0.74	0.72	0.72	4.83	5.45	4.83	5.45	13.10	20.0	22.0	0.0	85.00
3320	1.6	0.70	0.71	0.73	0.70	0.70	0.71	0.73	0.69	0.71	4.83	5.45	4.83	5.45	13.10	20.0	22.0	0.0	85.00
3330	2.7	0.70	0.75	0.77	0.73	0.75	0.75	0.78	0.74	0.75	4.83	5.45	4.83	5.45	13.10	20.0	22.0	0.0	85.00
3340	1.9	0.70	0.71	0.73	0.70	0.70	0.71	0.73	0.69	0.71	4.83	5.45	4.83	5.45	13.10	20.0	22.0	0.0	85.00
3350	1.6	0.70	0.69	0.72	0.67	0.68	0.69	0.72	0.68	0.69	4.83	5.45	4.83	5.45	13.10	20.0	22.0	0.0	85.00
3350	0.0	0.70	0.69	0.72	0.67	0.68	0.69	0.72	0.68	0.69	4.83	5.45	4.83	5.45	13.10	20.0	22.0	0.0	85.00
3350	0.0	0.70	0.69	0.72	0.67	0.68	0.69	0.72	0.68	0.69	4.83	5.45	4.83	5.45	13.10	20.0	22.0	0.0	85.00
3350	0.0	0.70	0.69	0.72	0.67	0.68	0.69	0.72	0.68	0.69	4.83	5.45	4.83	5.45	13.10	20.0	22.0	0.0	85.00
3352	0.0	0.70	0.69	0.72	0.67	0.68	0.69	0.72	0.68	0.69	4.83	5.45	4.83	5.45	13.10	20.0	22.0	0.0	85.00
3352	1.2	0.70	0.78	0.81	0.75	0.78	0.78	0.81	0.76	0.77	4.83	5.45	4.83	5.45	13.40	20.0	22.0	0.0	85.00
3352	1.2	0.70	0.78	0.81	0.75	0.78	0.78	0.81	0.76	0.77	4.83	5.45	4.83	5.45	13.40	20.0	22.0	0.0	85.00
3352	0.0	0.70	0.78	0.81	0.75	0.78	0.78	0.81	0.76	0.77	4.83	5.45	4.83	5.45	13.40	20.0	22.0	0.0	85.00
3352	0.0	0.70	0.78	0.81	0.75	0.78	0.78	0.81	0.76	0.77	4.83	5.45	4.83	5.45	13.40	20.0	22.0	0.0	85.00
3352	0.0	0.70	0.78	0.81	0.75	0.78	0.78	0.81	0.76	0.77	4.83	5.45	4.83	5.45	13.40	20.0	22.0	0.0	85.00
