/* SEABEAR DIVING TECHNOLOGY
 *
 * This file was given to Subsurface under the GPLv2
 * by Seabear Diving Technology.
 */
//SEABEAR DIVING TECHNOLOGY
//DIVE NR: 1
//Hardware Version: T1
//Firmware Version: 1.31
//DECO CODE Version: 1.22
//Serial number: 0
//2012.10.01 06:02:35
//Surface pressure: 0.970 bar
//DIVE LOG Version: 1.01
//Log interval: 5 s
//Mode: CCR SENSORBOARD
//GF: 30/70
//CCR 3xpO2 CAL O2: -0.0547mV -0.0566mV -0.0527mV 0.970bar

Depth;NDT;TTS;Ceiling;Temperature;pO2_1;pO2_2;pO2_3
1;1;1;1;1;1;1;1
0;1;2;3;4;5;5;5

1.0;0;0;0;26;0.96;0.99;0.96
2.5;
4.0;
5.5;
7.0;
8.5;
10.0;157;0;0;26;0.96;0.96;0.96
11.3;
12.6;
13.8;
15.1;
16.3;
17.6;79;180;0;26;0.96;0.96;0.93
18.8;
20.1;
20.9;
21.7;
22.6;
23.4;21;180;0;26;0.96;0.96;0.96
24.2;
25.1;
25.9;
26.7;
27.6;
28.4;10;180;0;26;0.96;0.96;0.96
29.2;
30.1;
30.9;
31.7;
32.6;
33.4;5;180;0;26;0.96;0.99;0.96
34.2;
35.1;
35.9;
36.7;
37.6;
38.4;3;180;0;26;0.96;0.96;0.96
39.2;
40.1;
40.9;
41.7;
42.5;
43.4;2;180;0;25;0.96;0.99;0.96
44.2;
45.0;
45.9;
46.7;
47.5;
48.4;1;180;0;25;0.96;0.99;0.96
49.2;
50.0;
50.6;
51.2;
51.8;
52.4;0;180;0;25;0.96;0.96;0.96
53.0;
53.5;
54.1;
54.7;
55.3;
55.9;0;180;0;25;0.96;0.96;0.96
56.5;
57.0;
57.6;
58.2;
58.8;
59.4;0;610;9;25;0.96;0.96;0.96
60.0;
60.5;
61.1;
61.7;
62.3;
62.9;0;690;12;25;0.96;0.99;0.96
63.5;
64.0;
64.6;
65.2;
65.8;
66.4;0;850;15;25;0.96;0.96;0.96
67.0;
67.5;
68.1;
68.7;
69.3;
69.9;0;970;15;25;0.96;0.99;0.96
68.8;
66.7;
64.6;
62.6;
60.5;
59.3;0;810;18;25;0.96;0.96;0.96
58.4;
57.6;
56.8;
55.9;
55.1;
54.3;0;810;18;25;0.96;0.96;0.96
53.4;
52.6;
51.8;
50.9;
50.1;
49.3;0;770;21;25;0.96;0.99;0.96
48.4;
47.6;
46.8;
45.9;
45.1;
44.3;0;710;21;25;0.96;0.96;0.96
43.4;
42.6;
41.8;
40.9;
40.1;
39.3;0;710;21;25;0.96;0.96;0.96
38.4;
37.6;
36.8;
35.9;
35.1;
34.3;0;670;21;25;0.96;0.96;0.96
33.4;
32.6;
31.8;
30.9;
30.1;
29.6;0;630;18;25;0.96;0.99;0.96
29.2;
28.8;
28.3;
27.9;
27.5;
27.1;0;630;18;25;0.96;0.99;0.96
26.7;
26.3;
25.8;
25.4;
25.0;
24.6;0;610;18;25;0.96;0.96;0.96
24.2;
23.8;
23.3;
22.9;
22.5;
22.1;0;590;18;25;0.96;0.99;0.96
21.7;
21.3;
20.8;
20.4;
20.0;
19.6;0;570;15;25;0.96;0.99;0.96
19.2;
18.8;
18.3;
17.9;
17.5;
17.1;0;550;12;25;0.96;0.96;0.96
16.7;
16.3;
15.8;
15.4;
15.0;
14.6;0;540;9;25;0.96;0.96;0.96
14.2;
13.8;
13.3;
12.9;
12.5;
12.1;0;520;9;25;0.96;0.96;0.96
11.7;
11.3;
10.8;
10.4;
10.0;
9.6;0;480;9;25;0.96;0.96;0.96
9.2;
8.8;
8.3;
7.9;
7.5;
7.1;0;460;6;25;0.96;0.99;0.96
6.7;
6.3;
5.8;
5.4;
5.0;
4.6;0;420;6;25;0.96;0.96;0.96
4.2;
3.8;
3.3;
2.9;
2.5;
2.1;0;400;6;25;0.96;0.96;0.96
1.7;
1.3;
0.8;
0.4;
0.0;
0.0;0;380;3;25;0.96;0.96;0.96
0.0;
0.0;
0.0;
0.0;
0.0;
0.0;0;380;3;25;0.96;0.96;0.96
0.0;
0.0;
