Tauchgangs-Nr.: 128
Modell: XP5
Serien Nr.: 7278
Tauchgangsnr.: 6
Datum des Tauchgangs: 18/05/2010
Dauer des Tauchgangs: 12:07
Tauchmodus: Normal
Oberflächeninterval: 01:27
Maximale Tiefe: 15,5 M
Tauchzeit gesamt: 47 Min.
Temperatur Min.: 13,33333 C

Tauchflaschengröße:
Arbeitsdruck:
Anfangsdruck: 0 BAR
End Druck: 0 BAR
Tauchflaschengröße: 0 L
Arbeitsdruck: 0 BAR
SAC: 0 L/Min
FO2: Luft
N1: 8,6
N2: 120,07
N3: 148,
N4: 0,03
N5: 7,66
N6: 244,36
N7: 49,
N8: 0,01
N9: 3,38
N10: 2,9
OTUD: 0,
OTUS: 0,
Abtastrate: 30 Secs
Tauchdatentyp: Tauchcomputer

Abgelaufene Tauchzeit (Std:Min.)	Tiefe	Stickstoff Balkenanzeige	Sauerstoff Balkenanzeige	Aufstiegsgeschwindigkeit	Restluftzeit	Restliche Tauchzeit	Dekompressionszeit (Std:Min)	Dekostopp-Tiefe	Temperatur	PO2	Pressluftflasche	Lesen des Druckes	Status der Verbindung	Tauchstatus
00:07:00	12,8 M	2	0	0-3 MPM	Nicht verfügbar	01:42	0:00	0 M	14,4	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:07:15	13,1 M	2	0	0-3 MPM	Nicht verfügbar	01:37	0:00	0 M	14,4	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:07:30	13,7 M	2	0	0-3 MPM	Nicht verfügbar	01:28	0:00	0 M	14,4	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:07:45	13,7 M	2	0	0-3 MPM	Nicht verfügbar	01:28	0:00	0 M	14,4	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:08:00	13,1 M	2	0	3-7.5 MPM	Nicht verfügbar	01:36	0:00	0 M	14,4	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:08:15	13,1 M	2	0	0-3 MPM	Nicht verfügbar	01:36	0:00	0 M	13,9	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:08:30	13,1 M	2	0	0-3 MPM	Nicht verfügbar	01:36	0:00	0 M	13,9	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:08:45	11,6 M	2	0	3-7.5 MPM	Nicht verfügbar	02:03	0:00	0 M	13,9	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:09:00	11,0 M	2	0	3-7.5 MPM	Nicht verfügbar	02:19	0:00	0 M	13,9	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:09:15	10,1 M	2	0	0-3 MPM	Nicht verfügbar	02:51	0:00	0 M	13,9	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:09:30	9,8 M	2	0	0-3 MPM	Nicht verfügbar	03:02	0:00	0 M	13,9	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:09:45	9,4 M	2	0	0-3 MPM	Nicht verfügbar	03:16	0:00	0 M	13,9	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:10:00	8,8 M	2	0	0-3 MPM	Nicht verfügbar	03:50	0:00	0 M	13,9	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:10:15	9,1 M	2	0	0-3 MPM	Nicht verfügbar	03:31	0:00	0 M	13,9	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:10:30	10,4 M	2	0	0-3 MPM	Nicht verfügbar	02:39	0:00	0 M	13,9	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:10:45	10,7 M	2	0	0-3 MPM	Nicht verfügbar	02:28	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
