/* SEABEAR DIVING TECHNOLOGY
 *
 * This file was given to Subsurface under the GPLv2
 * by Seabear Diving Technology.
 */
//SEABEAR DIVING TECHNOLOGY
//DIVE NR: 3
//Hardware Version: T1
//Firmware Version: 1.31
//DECO CODE Version: 1.22
//Serial number: 0
//2012.10.01 06:49:48
//Surface pressure: 0.971 bar
//DIVE LOG Version: 1.01
//Log interval: 5 s
//Mode: OC
//GF: 30/70
//GAS TABLE: 21/0;0/0;0/0;0/0;0/0;0/0;0/0;0/0

Depth;NDT;TTS;Ceiling;Temperature
1;1;1;1;1
0;1;2;3;4

1.0;0;0;0;26
2.5;
4.0;
5.5;
7.0;
8.5;
10.0;175;0;0;26
11.3;
12.6;
13.8;
15.1;
16.3;
17.6;30;180;0;26
18.8;
20.1;
20.9;
21.7;
22.6;
23.4;13;180;0;26
24.2;
25.1;
25.9;
26.7;
27.6;
28.4;8;180;0;26
29.2;
30.1;
30.9;
31.7;
32.6;
33.4;5;180;0;26
34.2;
35.1;
35.9;
36.7;
37.6;
38.4;3;180;0;26
39.2;
40.1;
40.9;
41.7;
42.5;
43.4;2;180;0;26
44.2;
45.0;
45.9;
46.7;
47.5;
48.4;1;180;0;26
49.2;
50.0;
50.6;
51.2;
51.8;
52.4;0;180;0;26
53.0;
53.5;
54.1;
54.7;
55.3;
55.9;0;180;0;26
56.5;
57.0;
57.6;
58.2;
58.8;
59.4;0;670;9;25
60.0;
60.5;
61.1;
61.7;
62.3;
62.9;0;790;12;25
63.5;
64.0;
64.6;
65.2;
65.8;
66.4;0;1010;12;25
67.0;
67.5;
68.1;
68.7;
69.3;
69.9;0;1230;15;25
68.8;
66.7;
64.6;
62.6;
60.5;
59.3;0;970;15;26
58.4;
57.6;
56.8;
55.9;
55.1;
54.3;0;1010;18;26
53.4;
52.6;
51.8;
50.9;
50.1;
49.3;0;970;18;25
48.4;
47.6;
46.8;
45.9;
45.1;
44.3;0;930;18;25
43.4;
42.6;
41.8;
40.9;
40.1;
39.3;0;910;18;25
38.4;
37.6;
36.8;
35.9;
35.1;
34.3;0;870;18;25
33.4;
32.6;
31.8;
30.9;
30.1;
29.6;0;850;18;25
29.2;
28.8;
28.3;
27.9;
27.5;
27.1;0;850;18;25
26.7;
26.3;
25.8;
25.4;
25.0;
24.6;0;830;18;25
24.2;
23.8;
23.3;
22.9;
22.5;
22.1;0;810;15;25
21.7;
21.3;
20.8;
20.4;
20.0;
19.6;0;790;15;25
19.2;
18.8;
18.3;
17.9;
17.5;
17.1;0;770;12;25
16.7;
16.3;
15.8;
15.4;
15.0;
14.6;0;750;12;25
14.2;
13.8;
13.3;
12.9;
12.5;
12.1;0;720;9;25
11.7;
11.3;
10.8;
10.4;
10.0;
9.6;0;700;9;25
9.2;
8.8;
8.3;
7.9;
7.5;
7.1;0;660;6;25
6.7;
6.3;
5.8;
5.4;
5.0;
4.6;0;620;6;25
4.2;
3.8;
3.3;
2.9;
2.5;
2.1;0;600;6;25
1.7;
1.3;
0.8;
0.4;
0.0;
0.0;0;580;6;25
0.0;
0.0;
0.0;
0.0;
0.0;
0.0;0;580;6;25
0.0;
0.0;
