0,0,1
0,42,218
0,20,40
0,20,41
0,10,244
0,12,28
0,8,2
0,9,2
0,6,34
0,250,42
0,251,41
1,42,222
1,10,236
1,6,35
1,250,44
1,251,43
1,7,32
2,8,1
2,10,246
2,16,255
2,250,48
2,251,45
2,6,36
3,8,0
3,7,33
3,14,180
3,20,41
3,43,13
3,20,40
3,10,0
3,250,53
3,251,47
3,6,37
3,7,34
3,250,49
3,6,38
4,7,35
4,250,40
4,251,41
5,13,183
5,14,179
5,10,12
5,250,35
5,251,37
6,43,3
6,6,39
6,10,20
6,250,32
7,251,33
7,10,10
7,39,133
8,250,31
8,251,32
8,10,0
8,7,36
9,250,32
9,251,31
9,17,4
10,42,220
10,42,222
10,17,5
11,42,220
11,250,33
11,251,32
11,42,222
11,17,4
12,17,5
13,43,8
13,17,4
14,42,220
14,42,222
14,17,5
15,250,32
15,251,31
15,6,37
16,43,6
17,6,36
17,7,35
18,6,35
18,7,34
19,6,34
19,7,33
19,6,33
20,43,3
20,7,32
21,250,31
21,251,30
21,6,32
22,250,30
22,251,29
22,7,31
23,43,4
23,10,252
24,250,29
24,10,0
25,251,28
25,17,28
26,250,28
26,251,27
26,6,31
26,42,219
26,7,30
26,10,252
27,17,29
27,43,13
27,10,0
28,17,28
28,42,220
29,42,219
29,10,252
29,17,29
29,42,220
29,6,30
30,42,219
30,10,4
30,17,28
30,250,30
30,251,28
30,7,29
31,43,37
31,10,252
31,17,29
31,8,1
31,251,30
31,42,220
31,8,0
32,42,219
32,42,221
32,250,31
33,42,222
33,10,4
34,10,0
34,43,16
35,10,4
35,251,31
35,8,1
36,10,250
36,8,0
37,10,4
38,43,3
38,10,0
38,250,30
38,251,30
39,250,28
39,251,29
40,10,252
40,251,27
41,10,0
41,250,27
41,6,29
42,10,6
42,17,28
42,42,220
42,250,28
43,42,219
43,10,0
43,17,29
43,42,220
44,42,219
44,10,4
44,17,28
44,250,29
44,251,28
45,43,28
45,6,30
45,10,0
45,17,29
45,250,31
45,251,29
46,10,4
46,17,28
46,42,220
46,250,34
46,251,32
47,42,219
47,10,0
47,17,29
47,250,35
47,251,33
48,39,132
48,7,30
48,43,36
48,250,34
49,42,222
49,250,35
49,6,31
50,13,182
50,250,34
51,250,33
52,43,3
52,39,133
52,10,252
52,250,32
52,251,32
53,10,0
53,250,31
53,251,31
55,33,0
55,42,220
56,42,219
56,43,7
56,39,132
56,12,28
59,28,0
59,42,216
59,43,42
60,42,222
62,10,252
63,43,7
63,10,0
66,43,3
67,10,4
68,68,1
68,10,0
68,7,31
69,250,35
69,251,34
69,6,32
70,250,34
70,251,33
71,7,32
71,6,33
72,250,33
73,251,32
74,250,32
74,17,28
75,42,219
75,7,33
75,17,29
76,42,220
76,43,17
76,251,31
76,42,219
76,17,28
76,7,32
77,42,220
77,251,32
77,42,219
77,17,29
78,10,252
78,250,34
78,251,33
78,17,28
79,10,0
79,250,35
79,251,34
79,42,218
79,43,38
79,17,29
80,42,220
80,250,36
80,251,35
80,42,219
80,7,33
81,42,220
81,10,252
81,251,36
81,42,222
82,10,4
82,6,34
82,250,37
83,13,181
83,10,0
83,250,36
83,43,13
84,10,4
84,7,34
85,10,0
86,10,252
87,43,3
87,10,4
87,6,35
88,10,252
88,250,34
88,251,35
89,10,0
89,251,34
90,250,33
90,251,33
90,17,16
91,10,252
91,42,219
91,17,21
92,42,222
92,10,4
92,42,219
92,250,34
92,17,20
93,42,220
93,10,0
93,7,35
93,17,21
94,42,222
94,43,22
94,10,4
94,42,219
94,250,35
94,251,34
94,17,20
95,42,222
95,10,0
95,42,219
95,251,33
95,17,21
96,42,220
96,8,1
96,10,250
96,42,219
96,8,0
96,251,34
97,42,222
97,43,24
97,10,4
97,250,37
97,251,35
98,10,0
98,250,42
98,251,38
99,6,36
99,250,46
99,251,40
100,250,48
100,251,41
100,6,37
101,43,3
101,250,50
101,251,43
102,7,36
102,6,38
102,10,2
102,251,46
103,6,39
103,10,0
103,250,46
103,251,44
103,7,37
104,10,252
104,250,41
104,251,41
105,6,40
105,10,0
105,250,38
105,251,38
106,7,38
106,250,35
106,251,35
107,10,252
107,250,34
107,251,34
108,39,131
108,10,4
108,250,35
109,10,0
110,10,4
111,10,252
111,250,36
112,10,0
112,250,35
